draw,lambda_c,aic
124,135.73999999999995,10300.575721209443
125,103.83333333333333,9708.209953443822
126,135.73999999999995,10348.922465405312
127,135.73999999999995,10138.752904539448
128,135.73999999999995,9939.98899030152
129,122.5,10727.718988297214
130,103.83333333333333,9739.119984568206
131,135.73999999999995,10633.793464726174
132,92.2,9966.372620157963
133,135.73999999999995,10222.240406870087
134,122.5,10166.56139560304
135,112.18999999999991,10101.177063275336
136,92.2,10691.817323603882
137,92.2,10009.713859826448
138,135.73999999999995,10641.139015572362
139,135.73999999999995,10413.200591564288
140,97.83333333333333,10040.485363123109
141,103.83333333333333,10256.11914179985
142,92.2,9962.290697682954
143,135.73999999999995,10574.654684576122
144,92.2,10239.710750060172
145,135.73999999999995,10299.943611165792
146,135.73999999999995,10136.04450859165
147,103.83333333333333,10381.048480118276
148,135.73999999999995,10743.149449863948
149,135.73999999999995,10172.505811240924
150,103.83333333333333,10068.202051110053
151,122.5,10262.069363460658
152,135.73999999999995,9932.18979933703
153,92.2,10599.564444511268
154,135.73999999999995,10247.318638540068
155,103.83333333333333,10254.380852399116
156,97.83333333333333,10278.270632896796
157,135.73999999999995,10171.893755253945
158,135.73999999999995,9998.772910311662
159,122.5,10517.57710846828
160,103.83333333333333,10501.613439224417
161,92.2,9927.321192928088
162,92.2,10518.59878022393
163,135.73999999999995,10265.993367225981
164,135.73999999999995,10442.642121010014
165,97.83333333333333,9810.900753434877
166,97.83333333333333,10312.407636523807
167,135.73999999999995,10004.877155457825
168,92.2,10005.710348968772
169,97.83333333333333,10168.383948485856
170,135.73999999999995,10410.056075933702
171,103.83333333333333,10419.640502476406
172,135.73999999999995,10159.944375266949
173,1.0,9966.643933512707
174,135.73999999999995,10255.065350278845
175,92.2,10116.136555265468
176,135.73999999999995,10362.06448199235
177,135.73999999999995,10106.345878787784
178,97.83333333333333,10452.880202393948
179,135.73999999999995,10408.995965748629
180,97.83333333333333,10402.814339732267
181,135.73999999999995,9736.877930296636
182,135.73999999999995,10118.074761085381
183,97.83333333333333,10272.710010949637
184,135.73999999999995,10335.730686986208
185,92.2,10356.062891857053
186,1.0,10178.27893164585
187,92.2,9936.462171835778
188,135.73999999999995,10494.768939272288
189,97.83333333333333,10297.094032199842
190,135.73999999999995,10350.00772121743
191,97.83333333333333,10155.339719397134
192,135.73999999999995,10574.817597531519
193,135.73999999999995,10689.219420915166
194,103.83333333333333,10441.12415741871
195,92.2,10391.728084784832
196,92.2,10047.773610463282
197,92.2,10450.818024315678
198,135.73999999999995,10228.071318127038
199,135.73999999999995,10804.212763580208
200,103.83333333333333,10656.194978670008
201,135.73999999999995,10282.70586495929
202,92.2,10088.451562883447
203,92.2,10155.140924878788
204,135.73999999999995,10024.962181257604
205,103.83333333333333,9902.8118429302
206,135.73999999999995,9981.134311576909
207,92.2,10153.733081361066
208,97.83333333333333,10354.965182747772
209,135.73999999999995,9981.890406389608
210,122.5,10496.174122156408
211,135.73999999999995,10331.613548669506
212,97.83333333333333,9912.622478916926
213,135.73999999999995,10417.493397313572
214,135.73999999999995,10094.080752352049
215,1.0,10155.539172834337
216,135.73999999999995,10487.27644221773
217,135.73999999999995,10515.667543544407
218,135.73999999999995,10563.181613089757
219,135.73999999999995,10291.125349768816
220,103.83333333333333,10217.311313930095
221,135.73999999999995,10398.092260793554
222,135.73999999999995,10006.424866305515
223,103.83333333333333,10445.70379348549
224,97.83333333333333,10071.33001028642
225,135.73999999999995,10523.190851367119
226,1.0,10021.830768229609
227,135.73999999999995,10292.669579031784
228,97.83333333333333,10364.953018842652
229,92.2,10209.835185517712
230,135.73999999999995,10267.132182539312
231,135.73999999999995,10266.293080477695
232,135.73999999999995,10508.004134290079
233,112.18999999999991,10391.17365786388
234,135.73999999999995,10482.880263957622
235,135.73999999999995,10065.11255885313
236,135.73999999999995,10253.3671901203
237,135.73999999999995,10262.426130658032
238,135.73999999999995,10270.461628165725
239,135.73999999999995,9887.896789839493
240,135.73999999999995,10243.805153655654
241,122.5,10350.55914654011
242,135.73999999999995,10537.443621586755
243,103.83333333333333,10165.226482151002
244,135.73999999999995,10537.872640931517
245,135.73999999999995,10176.14507433079
246,135.73999999999995,10388.973787091882
247,135.73999999999995,10533.871360722009
248,135.73999999999995,10501.230355632779
249,122.5,10302.524022133972
250,135.73999999999995,10199.206389791363
251,122.5,9981.052203437945
252,135.73999999999995,10148.186890060708
253,135.73999999999995,10489.30749985243
254,103.83333333333333,9832.353108228159
255,135.73999999999995,10099.8065181413
256,135.73999999999995,10020.803303176524
257,135.73999999999995,10350.243030286621
258,92.2,10344.388688919551
259,135.73999999999995,10362.516203172374
260,135.73999999999995,10298.686159027715
261,83.14285714285714,10138.692724084967
262,135.73999999999995,10379.914925797128
263,135.73999999999995,10261.173460655109
264,135.73999999999995,10392.002657955836
265,135.73999999999995,10246.18599092891
266,135.73999999999995,10362.12524630463
267,135.73999999999995,10012.855591365911
268,135.73999999999995,10107.064926672794
269,135.73999999999995,10022.984280854022
270,135.73999999999995,10634.270071547979
271,135.73999999999995,10126.46349123284
272,135.73999999999995,10939.413668277584
273,92.2,10134.190806224724
274,135.73999999999995,10219.239290241945
275,112.18999999999991,10122.617137705236
276,135.73999999999995,10039.341042492433
277,97.83333333333333,10179.132426105169
278,92.2,10220.71551879934
279,135.73999999999995,10136.299602435729
280,103.83333333333333,10300.878659234517
281,103.83333333333333,10505.187637160127
282,97.83333333333333,10197.221552310215
283,135.73999999999995,10578.135969060464
284,97.83333333333333,10463.180595329371
285,122.5,10243.576620602158
286,135.73999999999995,10065.77875895369
287,135.73999999999995,10291.90588311438
288,135.73999999999995,10301.202256455128
289,135.73999999999995,10632.874004343756
290,135.73999999999995,10009.733348591584
291,103.83333333333333,10252.252932845227
292,135.73999999999995,10303.513804252178
293,135.73999999999995,9978.128690972086
294,122.5,10577.6879232251
295,135.73999999999995,10109.173059927454
296,122.5,9913.079592734523
297,135.73999999999995,10186.977972007182
298,122.5,9899.830306025555
299,135.73999999999995,10379.809997564715
