line_code,direction,service_date,hour,N_arc,r1_arc,r2_arc,r3_arc,N_time,r1_time,r2_time,r3_time,N,boardings,lambda_boardings_per_bus,day_category,hour_of_day,is_peak,period,rain_mm,temp_c,analysis_eligible,weekend,null_mean,null_sd,r_excess,z,ppc,rayleigh_z,pit_probit
39A,1,2026-03-11,2026-03-11 21:00:00,3,0.9993636152451808,0.9974556767121746,0.9942798339408322,3,1.0,1.0,1.0,3,35,11.666666666666666,weekday,21,False,off_peak,0.0,22.6,True,weekday,0.527185586511236,0.23912845084327258,0.9986540495876098,1.9745790476575933,0.9980914532138767,2.9961829064277534,3.2388801183529563
39A,1,2026-03-11,2026-03-11 22:00:00,4,0.4753195471969397,0.2895115968853338,0.5346935410479785,4,0.4180510271811589,0.6465649394756687,0.3691878997475128,4,9,2.25,weekday,22,False,off_peak,0.0,22.5,True,weekday,0.44805277315722414,0.21797557269686318,0.04940105269789243,0.12509096180990534,-0.03209510406999494,0.9037146877900152,0.18121349816681256
39A,1,2026-03-11,2026-03-11 23:00:00,3,0.2335652851807435,0.3829796523680819,0.5893465035511428,3,0.0859593075577017,0.1923066263965605,0.9283011694274116,3,4,1.3333333333333333,weekday,23,False,off_peak,0.0,22.5,True,weekday,0.527185586511236,0.23912845084327258,-0.6210053944082443,-1.2278769017030706,-0.418170886337657,0.1636582273246861,-1.3216041522481956
39A,1,2026-03-11,2026-03-11 07:00:00,10,0.3936909024109769,0.9325196119895748,0.3521770092553233,10,0.5051539210945598,0.8019644343462384,0.8449107693317882,10,408,40.8,weekday,7,True,peak,0.0,23.1,True,weekday,0.2809039442267921,0.1422930711897375,0.15684546908397462,0.7926384415007217,0.061102807379077015,1.5499252664116931,0.7962271839132066
39A,1,2026-03-11,2026-03-11 11:00:00,8,0.8788110992431722,0.5981077641553022,0.4092383208792051,8,0.827517711144624,0.5831557327052106,0.6283969697566374,8,393,49.125,weekday,11,False,off_peak,0.0,24.9,True,weekday,0.3152126391873147,0.16049652599261358,0.8230269603501379,3.5115928931807265,0.7397816550319918,6.178471585223942,3.21597976078809
39A,1,2026-03-11,2026-03-11 12:00:00,8,0.5432463715560002,0.4164900357429657,0.3811088781281647,8,0.4489414172420197,0.5092267317545848,0.82756039725104,8,451,56.375,weekday,12,False,off_peak,0.0,24.9,True,weekday,0.3152126391873147,0.16049652599261358,0.3329993300373737,1.4208016713033413,0.19441899452429695,2.3609329616700787,1.3219043611865446
39A,1,2026-03-11,2026-03-11 14:00:00,8,0.2999906366152302,0.2640627772423689,0.3032475685394275,8,0.3864228523824881,0.4361217572948358,0.1883182411928052,8,932,116.5,weekday,14,False,off_peak,1.4,23.6,True,weekday,0.3152126391873147,0.16049652599261358,-0.022228801878030405,-0.09484319039270081,-0.04000642050650162,0.7199550564544887,0.007645290715444312
39A,1,2026-03-11,2026-03-11 15:00:00,6,0.5356988928184623,0.5006550632390061,0.1876816059495132,6,0.4766443465617661,0.3722685657716193,0.5986490478313949,6,611,101.83333333333331,weekday,15,False,off_peak,1.2,23.1,True,weekday,0.36689931083094657,0.18172384994675964,0.2666235953858551,0.9288796271759023,0.1443679645203116,1.7218398226015579,0.8927333243208558
39A,1,2026-03-11,2026-03-11 10:00:00,5,0.6837217401587463,0.1521581912162357,0.6779308244776803,5,0.4398661636658908,0.6793662747296468,0.9140268904943016,5,426,85.2,weekday,10,False,off_peak,0.2,24.4,True,weekday,0.4004091764520222,0.1974687348710285,0.47250983934388735,1.4347211161896705,0.3343442724571303,2.337377089828521,1.3150294651459524
39A,1,2026-03-11,2026-03-11 13:00:00,9,0.6893242442513963,0.6897634118738549,0.3218740064071533,9,0.6951973024678636,0.6059694583130848,0.5601814877578906,9,657,73.0,weekday,13,False,off_peak,0.6,23.9,True,weekday,0.29708997453612646,0.14952147651880487,0.5580149030545146,2.623263753457783,0.4095639029268534,4.276511223414827,2.3867077344922527
45,1,2026-03-11,2026-03-11 07:00:00,9,0.5359609141600636,0.198160974958931,0.0283249492275573,9,0.7366066747869138,0.34637113303932,0.41139001505464,9,541,60.111111111111114,weekday,7,True,peak,0.0,23.1,True,weekday,0.29708997453612646,0.14952147651880487,0.33983145917757873,1.597569427385203,0.19816086419570245,2.5852869135656196,1.482903693483995
45,1,2026-03-11,2026-03-11 14:00:00,9,0.132147219520255,0.296908938122289,0.4290004886538401,9,0.2872395797132482,0.2188638872147327,0.521693386808337,9,952,105.77777777777776,weekday,14,False,off_peak,1.4,23.6,True,weekday,0.29708997453612646,0.14952147651880487,-0.23465699597472703,-1.1031375482379422,-0.10535425141969873,0.15716598864241016,-1.0857265290234663
45,1,2026-03-11,2026-03-11 15:00:00,10,0.3784186049890475,0.0899632452340901,0.3238414271973369,10,0.4879396727778134,0.2914579286473263,0.0397820000832211,10,737,73.7,weekday,15,False,off_peak,1.2,23.1,True,weekday,0.2809039442267921,0.1422930711897375,0.13560728080673837,0.6853085673597323,0.04800071177984086,1.4320064060185678,0.7051771490208765
45,1,2026-03-11,2026-03-11 16:00:00,10,0.1964131666764872,0.3224620983932291,0.3284226989992429,10,0.3089412666249252,0.4529069404594636,0.1039506137528311,10,511,51.1,weekday,16,False,off_peak,0.6,22.9,True,weekday,0.2809039442267921,0.1422930711897375,-0.11749581557564825,-0.5937799841121046,-0.06824651995123829,0.38578132043885544,-0.49826113130944744
45,1,2026-03-11,2026-03-11 17:00:00,12,0.2825438377340577,0.368870990459137,0.0754566326671116,12,0.4033690091005845,0.5074071909604414,0.4718866657888739,12,179,14.916666666666666,weekday,17,True,peak,0.0,22.8,True,weekday,0.2572518923221997,0.13141110844566523,0.03405184765927337,0.19246428792064815,-0.0038207051911023156,0.9579722428978745,0.2784069304634272
45,1,2026-03-11,2026-03-11 18:00:00,14,0.3950444564531167,0.5641474848603398,0.3464324001031941,14,0.5008375024529361,0.5771712331222457,0.6457284393759586,14,146,10.428571428571429,weekday,18,True,peak,0.2,22.5,True,weekday,0.23678542787239962,0.1212978379503608,0.20735849964124908,1.3047143399660763,0.09114167046467214,2.184841716040738,1.2318637087349833
45,1,2026-03-11,2026-03-11 06:00:00,5,0.6669770813991241,0.177449073601016,0.5715454699664485,5,0.8124915309826918,0.3636116853138977,0.3751101728431275,5,618,123.6,weekday,6,False,off_peak,0.0,22.7,True,weekday,0.4004091764520222,0.1974687348710285,0.44458302975641156,1.3499246101981854,0.3060730338896174,2.2242921355584695,1.2494514509614314
45,1,2026-03-11,2026-03-11 11:00:00,7,0.4667612705599873,0.5825045405827292,0.3186877303879105,7,0.5093340739717435,0.560719015489162,0.4589582044154397,7,431,61.57142857142857,weekday,11,False,off_peak,0.0,24.9,True,weekday,0.3357564871343161,0.16817807791298353,0.19722403138043376,0.7789646846448913,0.08751043097723592,1.5250625858634155,0.7755749428188844
45,1,2026-03-11,2026-03-11 12:00:00,8,0.3242609319055236,0.1965221630372508,0.3822952091733244,8,0.4895340794913691,0.303594264638851,0.4795282885787598,8,581,72.625,weekday,12,False,off_peak,0.0,24.9,True,weekday,0.3152126391873147,0.16049652599261358,0.013213288147536265,0.05637687583733319,-0.022691254902584453,0.8411612156819088,0.14083537039712737
45,1,2026-03-11,2026-03-11 13:00:00,6,0.0919960219631031,0.3528427172743661,0.2740020463132595,6,0.1944797183221109,0.3904091846707861,0.5068844862758164,6,685,114.16666666666669,weekday,13,False,off_peak,0.6,23.9,True,weekday,0.36689931083094657,0.18172384994675964,-0.4342173268341485,-1.5127529432618945,-0.1898440783315571,0.05077960834221448,-1.6870174324799263
45,1,2026-03-11,2026-03-11 20:00:00,7,0.6649234174088784,0.7626232541690443,0.412198926800276,7,0.7005546412442326,0.8023475711870615,0.6580249262518649,7,33,4.714285714285714,weekday,20,False,off_peak,0.4,22.2,True,weekday,0.3357564871343161,0.16817807791298353,0.495551591997441,1.957252302793444,0.34914367618848513,3.0948620571309107,1.8003841613268428
45,1,2026-03-11,2026-03-11 05:00:00,3,0.4156321001818071,0.6993272082588186,0.5777474156860459,3,0.3337836806584822,0.9877574719045432,0.3372221169427118,3,941,313.6666666666667,weekday,5,False,off_peak,0.0,22.6,True,weekday,0.527185586511236,0.23912845084327258,-0.23593503739936206,-0.4665002676847614,-0.24087493594769044,0.5182501281046191,-0.26799911493866163
45,1,2026-03-11,2026-03-11 08:00:00,11,0.4077455239534129,0.418291351055403,0.263549288350674,11,0.5046113616541571,0.5067765036234085,0.3937414622489087,11,578,52.54545454545455,weekday,8,True,peak,0.0,23.4,True,weekday,0.2673922694492119,0.13466594596805675,0.19158036238394702,1.0422327151475497,0.08288205353444755,1.8288205353444755,1.0089471103574519
45,1,2026-03-11,2026-03-11 09:00:00,9,0.5918568063037967,0.5814574440720993,0.5041579411631012,9,0.7140029823347183,0.6543912221891076,0.8438064095217629,9,700,77.77777777777777,weekday,9,False,off_peak,0.0,24.0,True,weekday,0.29708997453612646,0.14952147651880487,0.41935215189617453,1.9714012905069076,0.26908128906414613,3.152650312513169,1.8048382305529937
45,1,2026-03-11,2026-03-11 10:00:00,12,0.3734950077467163,0.2998952073186991,0.3593418518509879,12,0.5201606916664829,0.3793353963692562,0.3887414325370521,12,463,38.583333333333336,weekday,10,False,off_peak,0.2,24.4,True,weekday,0.2572518923221997,0.13141110844566523,0.15650408829441564,0.8845760210034286,0.061271113612785075,1.6739822497406358,0.8767913099912413
45,1,2026-03-11,2026-03-11 19:00:00,9,0.2497580812455743,0.5452957098613073,0.1138368558406623,9,0.1975924006673545,0.541979699899751,0.3821805662368639,9,76,8.444444444444445,weekday,19,False,off_peak,0.2,22.4,True,weekday,0.29708997453612646,0.14952147651880487,-0.06733705819506026,-0.31655581788345544,-0.05482351345909524,0.5614118923272381,-0.21534288043007288
45,1,2026-03-11,2026-03-11 00:00:00,2,0.9884985886168808,0.9542589193951296,0.8980686013774297,2,0.9691400122571904,0.8784647267157346,0.7335706197764026,2,1,0.5,weekday,0,False,off_peak,0.0,23.4,True,weekday,0.6359800669726218,0.3055077811024832,0.9684044461865934,1.1538773918363996,0.9542589193951305,1.9542589193951305,1.3267239965500672
45,1,2026-03-11,2026-03-11 21:00:00,2,0.0831396030364707,0.986175612813876,0.2471201009836585,2,0.1326432067797819,0.964811559390352,0.3885946051312593,2,9,4.5,weekday,21,False,off_peak,0.0,22.6,True,weekday,0.6359800669726218,0.3055077811024832,-1.5187093172026145,-1.8095789964534472,-0.9861756128138761,0.013824387186123855,-1.6328526058679922
45,1,2026-03-11,2026-03-11 22:00:00,2,0.1701667505756847,0.9420865539970252,0.4907903658851208,2,0.1730264395725383,0.9401237024177014,0.4983589535467129,2,5,2.5,weekday,22,False,off_peak,0.0,22.5,True,weekday,0.6359800669726218,0.3055077811024832,-1.2796368389032775,-1.524718338485392,-0.9420865539970255,0.05791344600297458,-1.2442705664024711
45,1,2026-03-11,2026-03-11 23:00:00,2,0.7581796923851901,0.149672891890603,0.5312217981211512,2,0.928342896223259,0.7236410659363774,0.415231189731667,2,6,3.0,weekday,23,False,off_peak,0.0,22.5,True,weekday,0.6359800669726218,0.3055077811024832,0.3356948736194004,0.3999885861223817,0.14967289189060295,1.149672891890603,0.12831461451497803
OC1,1,2026-03-11,2026-03-11 06:00:00,8,0.4302142977220077,0.5489814508123468,0.2358308890958232,8,0.4553845054964333,0.6484757208832553,0.3668990004243653,8,345,43.125,weekday,6,False,off_peak,0.0,22.7,True,weekday,0.3152126391873147,0.16049652599261358,0.167937764502856,0.7165367463466821,0.06866781938793176,1.4806747357155223,0.7192287304399239
OC1,1,2026-03-11,2026-03-11 08:00:00,6,0.5399097383154378,0.3715833339823018,0.8460139031940713,6,0.5543322793138401,0.5578168838230859,0.7646610018477047,6,285,47.5,weekday,8,True,peak,0.0,23.4,True,weekday,0.36689931083094657,0.18172384994675964,0.27327474198704144,0.9520512994589249,0.1498030306334134,1.749015153167067,0.9168905431141088
OC1,1,2026-03-11,2026-03-11 09:00:00,9,0.5773360109815395,0.6355972343540003,0.5819832457601004,9,0.5212922156629183,0.7184486000362863,0.5125182986070999,9,443,49.22222222222222,weekday,9,False,off_peak,0.0,24.0,True,weekday,0.29708997453612646,0.14952147651880487,0.3986940380605177,1.8742861759405336,0.24998147827308587,2.999851826184687,1.7251524629226294
OC1,1,2026-03-11,2026-03-11 15:00:00,7,0.2448624720613757,0.6692466658824759,0.7341605005366788,7,0.2418332751344547,0.7052539201017666,0.7340512426334488,7,484,69.14285714285714,weekday,15,False,off_peak,1.2,23.1,True,weekday,0.3357564871343161,0.16817807791298353,-0.13683839331874664,-0.5404629200243897,-0.09671609807199066,0.41970341156805596,-0.4432291449952486
OC1,1,2026-03-11,2026-03-11 16:00:00,7,0.5714775727559306,0.3700324786514037,0.4984017233692419,7,0.5794577170103052,0.5061258320012679,0.2899911452988117,7,387,55.285714285714285,weekday,16,False,off_peak,0.6,22.9,True,weekday,0.3357564871343161,0.16817807791298353,0.3548714907348737,1.4016160045756865,0.21435105219017828,2.2861063131410697,1.2898579010949325
OC1,1,2026-03-11,2026-03-11 18:00:00,8,0.572787911010159,0.3102719364160642,0.5636783371112858,8,0.565638627786251,0.395161306908353,0.537816366800238,8,118,14.75,weekday,18,True,peak,0.2,22.5,True,weekday,0.3152126391873147,0.16049652599261358,0.37613905653451557,1.6048650911901892,0.23209827542786496,2.624687927995055,1.4772822275128452
OC1,1,2026-03-11,2026-03-11 22:00:00,3,0.719163674671811,0.3421171936675544,0.8159144792651511,3,0.810450805472529,0.3965676274747226,0.5222692299167707,3,2,0.6666666666666666,weekday,22,False,off_peak,0.0,22.5,True,weekday,0.527185586511236,0.23912845084327258,0.4060326476598352,0.8028241201896945,0.2757945864511936,1.5515891729023872,0.6658609225923332
OC1,1,2026-03-11,2026-03-11 23:00:00,2,0.1911939341974674,0.926889759052189,0.5456253333985294,2,0.0441415294256364,0.9961030507599314,0.1320805536778083,2,0,0.0,weekday,23,False,off_peak,0.0,22.5,True,weekday,0.6359800669726218,0.3055077811024832,-1.2218730141398648,-1.4558913398868552,-0.926889759052189,0.073110240947811,-1.1772393168525106
OC1,1,2026-03-11,2026-03-11 05:00:00,4,0.5084139888111795,0.6843024521536233,0.4036840366145658,4,0.4481007258082958,0.7521442449803148,0.0937783485460612,4,461,115.25,weekday,5,False,off_peak,0.0,22.6,True,weekday,0.44805277315722414,0.21797557269686318,0.10936048360860678,0.2769173394392187,0.011313045358525509,1.0339391360755765,0.3448594989284943
OC1,1,2026-03-11,2026-03-11 10:00:00,8,0.7373614166392357,0.3909698121820484,0.4095155074585722,8,0.7988465269946161,0.4738868316976354,0.4489754974990125,8,308,38.5,weekday,10,False,off_peak,0.2,24.4,True,weekday,0.3152126391873147,0.16049652599261358,0.6164669525309687,2.630267383303669,0.4785164099979663,4.349614869985764,2.418141713222739
OC1,1,2026-03-11,2026-03-11 11:00:00,7,0.7103885202063887,0.3168365730312307,0.3668168675154696,7,0.7522589789547987,0.4405598434791574,0.5469493971671431,7,380,54.285714285714285,weekday,11,False,off_peak,0.0,24.9,True,weekday,0.3357564871343161,0.16817807791298353,0.5639980305653758,2.2275913586425315,0.4220938245811931,3.5325629474871585,2.0305565416179956
OC1,1,2026-03-11,2026-03-11 12:00:00,7,0.3876117529262792,0.3385362437040421,0.8155280670469388,7,0.4212599060308337,0.2780324438225688,0.8828526062489404,7,395,56.42857142857143,weekday,12,False,off_peak,0.0,24.9,True,weekday,0.3357564871343161,0.16817807791298353,0.07806664993723274,0.30833546461860123,0.008616682841013393,1.0517000970460804,0.3729307299726771
OC1,1,2026-03-11,2026-03-11 13:00:00,6,0.5879015294806087,0.7289740608725004,0.4341286603457552,6,0.6358665691528007,0.8655431063427435,0.4364523701098318,6,527,87.83333333333333,weekday,13,False,off_peak,0.6,23.9,True,weekday,0.36689931083094657,0.18172384994675964,0.34907909978699947,1.2161431684086048,0.21475385003876682,2.073769250193834,1.1430929525910276
OC1,1,2026-03-11,2026-03-11 14:00:00,7,0.3666445302594946,0.5344797161596567,0.2374219768116791,7,0.3713806871270568,0.6273610620804901,0.4149349971982715,7,626,89.42857142857143,weekday,14,False,off_peak,1.4,23.6,True,weekday,0.3357564871343161,0.16817807791298353,0.046501083603995026,0.18366271935370906,-0.00983375316926031,0.9409974809844381,0.2529588657195889
OC1,1,2026-03-11,2026-03-11 17:00:00,8,0.3771508931069688,0.3715355447192437,0.4656984423768291,8,0.2991366724295548,0.474851182140583,0.4347769797194323,8,218,27.25,weekday,17,True,peak,0.0,22.8,True,weekday,0.3152126391873147,0.16049652599261358,0.09044888598140545,0.3859164772358043,0.01970605276729625,1.1379423693710737,0.43315798477467365
OC1,1,2026-03-11,2026-03-11 07:00:00,7,0.4730316320166489,0.3853136921998676,0.0388521635560276,7,0.5081599610385652,0.6097864473853136,0.5141047244633906,7,285,40.714285714285715,weekday,7,True,peak,0.0,23.1,True,weekday,0.3357564871343161,0.16817807791298353,0.20666388489079768,0.81624874410421,0.09438541236972338,1.5663124742183403,0.8067682752982837
OC1,1,2026-03-11,2026-03-11 19:00:00,6,0.2775756240821793,0.6017252175132095,0.2836762588912087,6,0.2070440931882498,0.5765651654252784,0.5221812921591784,6,144,24.0,weekday,19,False,off_peak,0.2,22.4,True,weekday,0.36689931083094657,0.18172384994675964,-0.14108922684321337,-0.49153529806317003,-0.10754212749846644,0.4622893625076679,-0.3984479752111224
OC1,1,2026-03-11,2026-03-11 20:00:00,4,0.4101100369151457,0.6733592760811589,0.1683993645856534,4,0.3521661614408102,0.5161701788100775,0.4407563748196809,4,72,18.0,weekday,20,False,off_peak,0.4,22.2,True,weekday,0.44805277315722414,0.21797557269686318,-0.06874341313229673,-0.17406875354260495,-0.10907967682861046,0.6727609695141686,-0.12995756514932072
OC1,1,2026-03-11,2026-03-11 00:00:00,2,0.3081888369977396,0.8100392814999613,0.807478965173655,2,0.0062640217165153,0.99992152406387,0.0187910819996096,2,0,0.0,weekday,0,False,off_peak,0.0,23.4,True,weekday,0.6359800669726218,0.3055077811024832,-0.9004760460472607,-1.0729390550773694,-0.8100392814999614,0.1899607185000386,-0.8498652634210145
OC1,1,2026-03-11,2026-03-11 21:00:00,2,0.9999367514085676,0.9997470136350394,0.9994308106807088,2,1.0,1.0,1.0,2,49,24.5,weekday,21,False,off_peak,0.0,22.6,True,weekday,0.6359800669726218,0.3055077811024832,0.9998262496481818,1.1913172329769757,0.9997470136350393,1.9997470136350393,2.4948792482923823
45,0,2026-03-11,2026-03-11 08:00:00,12,0.549405133748439,0.4868651628824307,0.3884448416351799,12,0.6087077802502104,0.6233863360589958,0.8045605299972097,12,578,48.166666666666664,weekday,8,True,peak,0.0,23.4,True,weekday,0.2572518923221997,0.13141110844566523,0.3933409434588202,2.2232004956189564,0.23837745562451654,3.622152011869682,1.9981536941925766
45,0,2026-03-11,2026-03-11 09:00:00,12,0.1389302581417895,0.4970445770312658,0.3057878039512657,12,0.1080651237998061,0.4377644925459453,0.3364756777763581,12,700,58.333333333333336,weekday,9,False,off_peak,0.0,24.0,True,weekday,0.2572518923221997,0.13141110844566523,-0.1593025050583332,-0.9003929392265406,-0.06985278186107897,0.2316193995281312,-0.8475295921252225
45,0,2026-03-11,2026-03-11 10:00:00,11,0.5571845201591731,0.6088021299695188,0.4289362975042509,11,0.5352163555293695,0.6268526367370416,0.5727660443442301,11,463,42.09090909090909,weekday,10,False,off_peak,0.2,24.4,True,weekday,0.2673922694492119,0.13466594596805675,0.3955626437248894,2.1519341703410375,0.2415000484555087,3.415000484555087,1.9481250677759514
45,0,2026-03-11,2026-03-11 13:00:00,10,0.3811935282122007,0.4449301922845343,0.2231906209827747,10,0.4679724204428864,0.6217195601153592,0.5372314154470381,10,685,68.5,weekday,13,False,off_peak,0.6,23.9,True,weekday,0.2809039442267921,0.1422930711897375,0.13946618560933732,0.7048100314855086,0.05034278438985096,1.4530850595086586,0.7211780091903615
45,0,2026-03-11,2026-03-11 14:00:00,6,0.4001098949153444,0.6815595277953432,0.4884932100160565,6,0.5307718033765056,0.6626061638624258,0.54344422292497,6,952,158.66666666666666,weekday,14,False,off_peak,1.4,23.6,True,weekday,0.36689931083094657,0.18172384994675964,0.05245703353756699,0.18275302935815882,-0.007894486388998524,0.9605275680550074,0.26176840377582794
45,0,2026-03-11,2026-03-11 15:00:00,9,0.512880358029965,0.6027724475366738,0.7480020134218194,9,0.4292144188335855,0.7365485821417669,0.6314522360359199,9,737,81.88888888888889,weekday,15,False,off_peak,1.2,23.1,True,weekday,0.29708997453612646,0.14952147651880487,0.30699574010405006,1.4432066116381566,0.17092704435956324,2.367416354876506,1.3410629968082217
45,0,2026-03-11,2026-03-11 16:00:00,11,0.3766986962745806,0.6230019677532426,0.3772138289552892,11,0.465706764155167,0.7086208789870477,0.5554274322150676,11,511,46.45454545454545,weekday,16,False,off_peak,0.6,22.9,True,weekday,0.2673922694492119,0.13466594596805675,0.149201847410469,0.8116857312337639,0.056092098552465594,1.560920985524656,0.813031496822339
45,0,2026-03-11,2026-03-11 17:00:00,12,0.2474605213307687,0.2819702163681544,0.3278869458087779,12,0.359754444244915,0.4125544128599699,0.3158862995454295,12,179,14.916666666666666,weekday,17,True,peak,0.0,22.8,True,weekday,0.2572518923221997,0.13141110844566523,-0.013182626640468568,-0.07450946200244131,-0.024105407690222725,0.73484051540755,0.03898794475361718
45,0,2026-03-11,2026-03-11 18:00:00,11,0.3688272958338228,0.5518124145282887,0.2722286051069925,11,0.4118642492741068,0.554487365590387,0.5514106593901212,11,146,13.272727272727272,weekday,18,True,peak,0.2,22.5,True,weekday,0.2673922694492119,0.13466594596805675,0.13845748844112,0.7532344250466383,0.049636931567299244,1.4963693156729925,0.7631063052820065
45,0,2026-03-11,2026-03-11 06:00:00,9,0.7284523053101859,0.6304615690936742,0.391311308140251,9,0.7958724018748372,0.8290908477957956,0.827136161280824,9,618,68.66666666666667,weekday,6,False,off_peak,0.0,22.7,True,weekday,0.29708997453612646,0.14952147651880487,0.6136807203587531,2.884952321346347,0.4719731062506898,4.775784850005518,2.597153158038552
45,0,2026-03-11,2026-03-11 07:00:00,16,0.3030070988181799,0.5768674296547813,0.1877907803950868,16,0.3246344238646024,0.6414763136975964,0.5344325195299682,16,541,33.8125,weekday,7,True,peak,0.0,23.1,True,weekday,0.22230682525307902,0.11395064898562776,0.10376878206673547,0.7082037205007875,0.03126752206315759,1.4690128309473638,0.7270423710034377
45,0,2026-03-11,2026-03-11 05:00:00,5,0.4769426330972639,0.5651721195445957,0.0734331829087276,5,0.4762761426995499,0.576128060758675,0.6013727429961476,5,941,188.2,weekday,5,False,off_peak,0.0,22.6,True,weekday,0.4004091764520222,0.1974687348710285,0.12764280846122342,0.3875725273432655,0.03434284408218913,1.1373713763287565,0.41669706694327774
45,0,2026-03-11,2026-03-11 19:00:00,5,0.586886453815482,0.92511391977753,0.4909566050232242,5,0.6201944014394668,0.9226468840856336,0.7363013139572094,5,76,15.2,weekday,19,False,off_peak,0.2,22.4,True,weekday,0.4004091764520222,0.1974687348710285,0.3110075572204589,0.9443382390901148,0.1805446370901399,1.7221785483605596,0.9153650878428138
45,0,2026-03-11,2026-03-11 11:00:00,8,0.6553736094149257,0.6420394419549195,0.1427485176550499,8,0.6631509564964734,0.698626872649967,0.4869800811219086,8,431,53.875,weekday,11,False,off_peak,0.0,24.9,True,weekday,0.3152126391873147,0.16049652599261358,0.4967395569683385,2.11942886691059,0.34801664904862584,3.436116543340381,1.9456233504816844
45,0,2026-03-11,2026-03-11 12:00:00,6,0.7336483773180325,0.7733023108159787,0.907965008852618,6,0.7200294138451844,0.861834741136302,0.9455905450445532,6,581,96.83333333333331,weekday,12,False,off_peak,0.0,24.9,True,weekday,0.36689931083094657,0.18172384994675964,0.5792902657686966,2.018166941733481,0.4458879298496585,3.2294396492482926,1.8411471344643795
